external_exercise_id,title,primary_muscles,secondary_muscles,equipment,movement_pattern,body_position,difficulty,sanitized_metadata
e8a79472-7809-42d4-89cc-c3c351d86982,Deadstop push up into superman crunches,[chest],[],[bodyweight],horizontal_push,NULL,intermediate,map[category:Chest difficulty:intermediate equipment:[bodyweight] exerciseTypes:[strength core functional] slug:deadstop-push-up-into-superman-crunches]
e8aacdde-8fce-438b-878b-3af1a611f2be,Dumbbell One-Arm Shoulder Press (R),[shoulders],[],[dumbbell],NULL,NULL,intermediate,map[category:Shoulders difficulty:intermediate equipment:[dumbbell] exerciseTypes:[strength] slug:dumbbell-one-arm-shoulder-press-r]
e91bd54f-f605-491d-90e6-16515787389c,Dumbbell Row two arm bent over,[back],[biceps rear_deltoids forearms erector_spinae],[dumbbell],horizontal_pull,NULL,intermediate,map[category:strength difficulty:intermediate equipment:[dumbbell] exerciseTypes:[strength] slug:dumbbell-row-two-arm-bent-over-15f4f2]
ea1016da-2d73-4ff8-ad2a-9b36150d2f85,Dead Bug,[bodyweight],[],[bodyweight],core,NULL,NULL,map[category:<nil> difficulty:<nil> equipment:[bodyweight] exerciseTypes:[] slug:dead-bug-5419c7]
ea7d466a-ecd9-4fcb-9a52-53716b513417,Chin-Up (Underhand),[bodyweight],[biceps_long_head brachialis lower_traps core],[bodyweight],NULL,NULL,intermediate,map[category:strength difficulty:intermediate equipment:[bodyweight] exerciseTypes:[] slug:chin-up-underhand-26410f]
ea856b4b-ef97-4fa6-81a1-269f060df9c5,Smith Machine Hip Thrust,[glutes],[hamstrings quads core adductors],[machine],hip_hinge,NULL,intermediate,map[category:Legs difficulty:intermediate equipment:[machine] exerciseTypes:[strength] slug:smith-machine-hip-thrust]
eb37d0a0-1a45-482c-9c6a-1aef9744661c,Barbell Wrist Curl,[forearm_flexors],[wrist_flexors forearm_extensors],[barbell],elbow_flexion,NULL,beginner,map[category:strength difficulty:beginner equipment:[barbell] exerciseTypes:[strength isometric] slug:barbell-wrist-curl-caeaac]
eb57cdf4-30aa-4286-9f5c-a3994414c71d,Stability ball pike,[abs],[front_deltoids quads triceps],[],NULL,NULL,advanced,map[category:core difficulty:advanced equipment:[stability ball] exerciseTypes:[core strength balance] slug:stability-ball-pike-1455b3]
ebb04889-8d61-4172-9c51-65ebe6c73c75,Russian twists with flutter kicks,[core],[],[bodyweight],core,NULL,NULL,map[category:Core difficulty:<nil> equipment:[bodyweight] exerciseTypes:[strength core] slug:russian-twists-with-flutter-kicks]
ec29a267-b5bc-406d-ae9a-043887d1dc06,Standing Reverse Curl,[forearms],[],[barbell],elbow_flexion,NULL,beginner,map[category:Arms difficulty:beginner equipment:[barbell] exerciseTypes:[strength] slug:standing-reverse-curl]
ec545ed7-4724-454a-b730-37a425e80080,High Cable Fly,[chest],[],[cable],NULL,NULL,intermediate,map[category:Chest difficulty:intermediate equipment:[cable] exerciseTypes:[strength] slug:high-cable-fly]
ec7c9b41-cfd7-414a-8fbe-8c46f0d3af78,Seated Dumbbell Press,[shoulders],[],[dumbbell],NULL,NULL,NULL,map[category:Shoulders difficulty:<nil> equipment:[dumbbell] exerciseTypes:[strength] slug:seated-dumbbell-press]
ecf8bc6c-e7c9-4dcb-949a-e04f6e0c93bb,1 Leg Lateral Broad Jump,[quads],[glute_med hip_flexors tibialis_anterior],[bodyweight],NULL,NULL,advanced,map[category:plyometric difficulty:advanced equipment:[bodyweight] exerciseTypes:[plyometric balance functional] slug:1-leg-lateral-broad-jump-c0bf1f]
ed1451e4-ceef-4aa9-a883-24b733b83edd,Butterfly crunches,[core],[],[bodyweight],core,NULL,intermediate,map[category:Chest difficulty:intermediate equipment:[bodyweight] exerciseTypes:[core calisthenics] slug:butterfly-crunches]
ed54736f-d36d-46fa-ac16-08a44612eded,Side jump skaters,[full_body],[],[bodyweight],NULL,NULL,intermediate,map[category:Full Body difficulty:intermediate equipment:[bodyweight] exerciseTypes:[cardio plyometric] slug:side-jump-skaters]
eda711dc-d4c5-49e6-b323-d8180e41a871,Dumbbel calf raises,[calves],[gastrocnemius soleus forearm_flexors],[dumbbell],NULL,NULL,beginner,map[category:Legs difficulty:beginner equipment:[dumbbell] exerciseTypes:[strength calisthenics] slug:dumbbel-calf-raises]
ee4ec1d3-6f4c-42bf-b338-ac175213a4e7,Chest Press Machine flat,[chest],[front_deltoids triceps serratus_anterior],[machine],NULL,NULL,beginner,map[category:strength difficulty:beginner equipment:[machine] exerciseTypes:[strength] slug:chest-press-machine-flat-fc68fc]
ee79ed25-3455-4730-acd9-5173de6085c9,Ab Bridge Complex,[core],[front_deltoids spinal_erectors glute_max quads],[bodyweight],NULL,NULL,beginner,map[category:core difficulty:beginner equipment:[bodyweight] exerciseTypes:[core isometric strength] slug:ab-bridge-complex-895db8]
eee3eb70-4e2c-430e-9c33-ed646287d9c2,Shoulder Press Machine,[shoulders],[triceps_long_head upper_chest serratus_anterior],[machine],NULL,NULL,beginner,map[category:strength difficulty:beginner equipment:[machine] exerciseTypes:[] slug:shoulder-press-machine-f3bc67]
ef04d753-d34b-4457-bcdb-0ec447d55101,Standing Single Leg Curl,[hamstrings],[],[machine],hip_hinge,NULL,beginner,map[category:Legs difficulty:beginner equipment:[machine] exerciseTypes:[strength] slug:standing-single-leg-curl]
ef55de8d-6d24-4983-99e0-0f50286c7a1e,Seated Barbell Military Press,[shoulders],[],[barbell],NULL,NULL,intermediate,map[category:Shoulders difficulty:intermediate equipment:[barbell] exerciseTypes:[strength] slug:seated-barbell-military-press]
ef8b7a4f-a209-425b-90dd-d20c402c5b0d,Seated eagle arms (left),[shoulders],[],[bodyweight],NULL,NULL,beginner,map[category:YOGA difficulty:beginner equipment:[bodyweight] exerciseTypes:[yoga stretching] slug:seated-eagle-arms-left]
efde17d4-3987-4416-9142-825a18329245,Single Arm Low Cable Curl,[biceps],[],[cable],elbow_flexion,NULL,beginner,map[category:Arms difficulty:beginner equipment:[cable] exerciseTypes:[strength] slug:single-arm-low-cable-curl]
eff7ae70-1117-4d71-a35f-15db81a16242,One-Arm Kettlebell Military Press,[shoulders],[],[],NULL,NULL,intermediate,map[category:Shoulders difficulty:intermediate equipment:[kettlebell] exerciseTypes:[strength] slug:one-arm-kettlebell-military-press]
f03c074c-398c-4c33-abd9-980ec883fdbd,Cable Bicep Curl rope,[biceps],[brachialis brachioradialis forearm_flexors],[cable],elbow_flexion,NULL,beginner,map[category:strength difficulty:beginner equipment:[cable] exerciseTypes:[strength] slug:cable-bicep-curl-rope-23790c]
f181cc8e-9816-4205-b025-3b23cb30720b,Dumbbell Lying Rear Lateral Raise,[shoulders],[],[dumbbell],NULL,NULL,NULL,map[category:Shoulders difficulty:<nil> equipment:[dumbbell] exerciseTypes:[strength] slug:dumbbell-lying-rear-lateral-raise]
f1c43226-fa20-4c2e-af66-0cd680f937df,Dumbbell Tricep Kickback,[triceps],[rear_deltoids forearm_extensors core],[dumbbell],NULL,NULL,beginner,map[category:strength difficulty:beginner equipment:[dumbbell] exerciseTypes:[strength] slug:dumbbell-tricep-kickback-6f482a]
