external_exercise_id,ymove_title,final_italian_name,validation_status,quality_score,rejection_reasons,missing_technical_details
8796655f-6390-4ae1-a143-1fe6cde817cb,Decline Chest Press Machine,,TECHNICAL_REVIEW,68,missing_main_movement,
4c5c90fd-01a3-45f6-a952-712743be9c81,Decline Close Grip Dumbbell Press,,TECHNICAL_REVIEW,68,missing_main_movement,
fbffd9c1-bffd-4fb0-ae4c-258834c5fcd2,Donkey Kick with Dumbbell,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
57c79553-d2e3-41e9-97d5-3fe8c0d59fe9,Dumbbell Bicep Curl seated incline,,TECHNICAL_REVIEW,68,missing_main_movement,
097903be-beaa-4283-9493-19eb90b59762,Dumbbell deltoid fly,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
4426c121-33b6-42c1-aa78-8d295d8fd687,Dumbbell Discus,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
a46c036e-f0f6-4c03-8216-cc80da58ee3d,Dumbbell Discus (L),,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
f49f3159-4eed-4d0d-a640-497886c309b0,Dumbbell double snatch,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
3433c651-a0f5-40cb-bdd8-3029f3ba15c5,Dumbbell External Rotation,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
9696321a-6d49-4d1b-a42d-08fb34bb8323,Dumbbell floor chest press,,TECHNICAL_REVIEW,68,missing_main_movement,
97f48a58-e7a9-4179-88e2-f1a16feb68ca,Dumbbell fly,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
c60450d9-862c-4dd3-87b1-82f80349964d,Dumbbell fly - v2,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
4581a423-5d2d-4cf1-89a0-fea026ef116d,Dumbbell Fly incline,,TECHNICAL_REVIEW,44,repeated_or_equipment_only|missing_main_movement,
d8a67e85-0c9f-483d-b7fe-be049247ab1c,Dumbbell forward lunge,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
3e668a4f-2aac-42ae-b8db-58fc179d20d2,Dumbbell Front Raise,,TECHNICAL_REVIEW,68,missing_main_movement,
beee4955-3dbc-4aa1-be35-d01666713f72,Dumbbell get ups (R),,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
dadea1de-c228-4e36-99de-db68578de515,Dumbbell glute bridge,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
ff6872ae-e894-4e72-b5f8-59a55b576a6f,Dumbbell Goblet Squat,,TECHNICAL_REVIEW,68,missing_main_movement,
44a83578-5681-4a1a-99c3-f8742857bf66,Dumbbell Lateral Raise,,TECHNICAL_REVIEW,68,missing_main_movement,
57c55853-176e-4bad-aced-1032c63f4652,Dumbbell Lunges,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
f181cc8e-9816-4205-b025-3b23cb30720b,Dumbbell Lying Rear Lateral Raise,,TECHNICAL_REVIEW,68,missing_main_movement,
fa0fd12d-1fd4-448f-9e21-ceda7b8f18eb,Dumbbell Lying Rear Lateral Raise - One arm,,TECHNICAL_REVIEW,36,missing_main_movement|lost_technical_details,one arm
af545111-e56a-4731-ba48-2d4ce750bc8e,Dumbbell One-Arm Shoulder Press (L),,TECHNICAL_REVIEW,36,missing_main_movement|lost_technical_details,one arm
e8aacdde-8fce-438b-878b-3af1a611f2be,Dumbbell One-Arm Shoulder Press (R),,TECHNICAL_REVIEW,36,missing_main_movement|lost_technical_details,one arm
35b16467-8817-4c28-b84c-a1f47b1734cd,Dumbbell pistol squats,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
c90444fe-fd21-40d1-923f-5adba83e35bc,Dumbbell Pullover,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
f6d6ac54-751d-416e-8c9d-bc4b675cd505,Dumbbell Pullover,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
ad241fc8-3d05-4ce7-a950-45380497cdc0,Dumbbell Pulse Squat,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
9690f31a-ed99-446e-88db-2934b832f497,Dumbbell Rear Lunge,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
54d04b7e-3a7d-4d04-a0b2-adaab8f8f466,Dumbbell Romanian Deadlift,,TECHNICAL_REVIEW,60,lost_technical_details,romanian
e91bd54f-f605-491d-90e6-16515787389c,Dumbbell Row two arm bent over,,TECHNICAL_REVIEW,60,lost_technical_details,bent over
1575dc75-93ab-4c7f-b924-4ed4eda2adc8,Dumbbell Russian Twist,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
d4210b5a-f583-4039-8566-ed5a20e46eab,Dumbbell Scaption,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
0d0368ee-f03d-4ef9-95db-06a56434ea55,Dumbbell Scissors,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
0ff5e9fe-9d15-426a-8c06-fd62a198dc47,Dumbbell shadow box,,TECHNICAL_REVIEW,68,missing_main_movement,
