normalized_name,external_ids,titles,classification,primary_external_id,rationale
sumo squat con bilanciere,1ffaf9e8-fe94-44e8-a20b-012ea58eba46|c8f3362d-fb00-481e-b428-e0b17f4ae681,Barbell Sumo Squat | Barbell Sumo Squat,EDITORIAL_DUPLICATE,1ffaf9e8-fe94-44e8-a20b-012ea58eba46,Titoli tecnici equivalenti o sola variazione editoriale da verificare.
stacco da terra con bilanciere,2fb79823-a759-4ceb-8b16-a26ab3cfb440|7d31d648-432b-4edd-97bc-afc2a3e9e59a,Barbell Deadlift | Barbell Deadlift,EDITORIAL_DUPLICATE,2fb79823-a759-4ceb-8b16-a26ab3cfb440,Titoli tecnici equivalenti o sola variazione editoriale da verificare.
dip su panca,48b2c98e-b82f-49aa-b847-b871a69e1b95|79084f10-c317-4c40-ae0c-45d0b760298d,Bench Dips | Bench Dips,EDITORIAL_DUPLICATE,48b2c98e-b82f-49aa-b847-b871a69e1b95,Titoli tecnici equivalenti o sola variazione editoriale da verificare.
plank,61410917-4fb1-41f8-86d5-16dc88fe380b|7e35442f-7c48-4d32-8e18-2761542f9b17,Plank | Plank,EDITORIAL_DUPLICATE,61410917-4fb1-41f8-86d5-16dc88fe380b,Titoli tecnici equivalenti o sola variazione editoriale da verificare.
push up presa larga,67f7b774-4b0f-4252-b5df-2555e9f5d0c8|cbedc7e1-a023-41fb-938e-f62e0ffdb7d2,Push-Up Wide | Push Up Wide,EDITORIAL_DUPLICATE,67f7b774-4b0f-4252-b5df-2555e9f5d0c8,Titoli tecnici equivalenti o sola variazione editoriale da verificare.
